2021PN330027,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2021-08-04 14:50,WATER,DISCRETE SAMPLE,6.3,,,,0.002,,7.16,,0.293,,0.064,,,,,,,,0.012,,5.58,,1.58,L,0.01,,0.159,,,,0.134,,0.0712,,0.0075,,58,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN330030,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2021-08-27 12:25,WATER,DISCRETE SAMPLE,5,,,,0,,6.326,,0.218,,0.022,,,,,,,L,0.005,,5.74,,0.586,L,0.01,,0.06,,,,0.158,,0.0368,,0.0147,,13,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN330038,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2021-09-22 13:20,WATER,DISCRETE SAMPLE,5.2,,,,0,,9.59,,0.376,,0.086,,,,,,,,0.006,,7.89,,1.7,L,0.01,,0.193,,,,0.183,,0.098,,0.0122,,73,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN330047,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2021-10-21 12:10,WATER,DISCRETE SAMPLE,6.6,,,,0,,4.959,,0.235,,0.035,,,,,,,L,0.005,,4.26,,0.699,,0.033,,0.07,,,,0.165,,0.048,,0.0134,,28,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN330060,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-02-24 12:40,WATER,DISCRETE SAMPLE,6.02,,,,0,,3.056,,0.249,,0.029,,,,,,,L,0.005,,2.54,,0.516,,0.113,,0.043,,,,0.206,,0.0377,,0.0083,,22,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021PN330067,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-03-18 14:00,WATER,DISCRETE SAMPLE,5.25,,,,0,,2.937,,0.163,,0.021,,,,,,,,0.006,,2.55,,0.387,,0.091,,0.012,,,,0.151,,0.0286,,0.0076,,17,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN330001,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-05-25 14:30,WATER,DISCRETE SAMPLE,8.6,,,,0,,30.7,,3.046,,0.716,,,,,,,,0.023,,17.2,,13.5,,0.038,,2.45,,,,0.596,,0.74,,0.024,,738,,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN330016,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-06-24 16:00,WATER,TRIPLICATE SAMPLE,8.6,,,,0,,16.2,,0.778,,0.433,,,,,,,,0.009,,8.93,,7.27,,0.061,,0.479,,,,0.299,,0.448,,0.0155,,428,,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN330017,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-06-24 16:05,WATER,TRIPLICATE SAMPLE,8.6,,,,PM,,16.35,,0.831,,0.44,,,,,,,,0.009,,8.99,,7.36,,0.048,,0.518,,,,0.313,,0.455,,0.0149,,398,,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN330018,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-06-24 16:10,WATER,TRIPLICATE SAMPLE,8.6,,,,PM,,16.55,,0.88,,0.432,,,,,,,,0.012,,8.66,,7.89,,0.049,,0.531,,,,0.349,,0.455,,0.0234,,394,,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN330033,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-07-19 14:10,WATER,DISCRETE SAMPLE,6.5,,,,0.001,,11.61,,0.656,,0.179,,,,,,,,0.015,,7.88,,3.73,,0.044,,0.396,,,,0.26,,0.222,,0.0434,,194,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN330035,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-08-22 16:50,WATER,DISCRETE SAMPLE,7.8,,,,0.001,,6.009,,0.198,,0.043,,,,,,,,0.008,,5.12,,0.889,L,0.002,,0.068,,,,0.13,,0.0515,,0.0084,,25,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN330044,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2022-10-12 13:50,WATER,DISCRETE SAMPLE,5.5,,,,0,,3.75,,0.179,,0.023,,,,,,,L,0.005,,3.29,,0.46,L,0.002,,0.051,,,,0.128,,0.03,,0.0075,,18,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN330049,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2023-02-08 12:10,WATER,DISCRETE SAMPLE,5.1,,,,0,,2.972,,0.253,,0.01,,,,,,,,0.013,,2.74,,0.232,,0.1,,0.015,,,,0.238,,0.0201,,0.01,,8,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022PN330054,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2023-03-07 11:40,WATER,DISCRETE SAMPLE,6.5,,,,0,,3.175,,0.233,,0.018,,,,,,,,0.008,,2.58,,0.595,,0.11,,0.053,,,,0.18,,0.0306,,0.0123,,35,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023PN330002,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2023-05-31 19:20,WATER,DISCRETE SAMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023PN330010,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2023-06-30 13:25,WATER,DISCRETE SAMPLE,3.1,,,,0.003,,74.7,,6.482,,1.019,,,,,,,,0.063,,13.9,,60.8,,0.086,,6.04,,,,0.442,,1.03,,0.011,,3290,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023PN330018,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2023-10-05 12:10,WATER,DISCRETE SAMPLE,4.2,,,,0,,4.829,,0.199,,0.032,,,,,,,,0.005,,4.15,,0.679,L,0.002,,0.091,,,,0.108,,0.0388,,0.0066,,10,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023PN330021,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2023-10-17 12:00,WATER,DISCRETE SAMPLE,3.8,,,,0,,4.223,,0.157,,0.014,,,,,,,L,0.005,,3.69,,0.533,,0.003,,0.058,,,,0.0991,,0.0174,,0.003,,7,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023PN330025,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2024-01-24 13:30,WATER,DISCRETE SAMPLE,4.98,,,,0,,2.991,,0.179,,0.012,,,,,,,,0.01,,2.7,,0.291,,0.104,,0.024,,,,0.155,,0.0159,,0.0044,,9,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023PN330030,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2024-02-19 15:00,WATER,DISCRETE SAMPLE,3.84,,,,0,,2.873,,0.169,,0.007,,,,,,,,0.01,,2.77,,0.103,,0.107,L,0.01,,,,0.164,,0.0095,,0.0022,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023PN330035,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2024-03-20 13:35,WATER,DISCRETE SAMPLE,5.18,,,,0,,2.547,,0.154,,0.004,,,,,,,,0.008,,2.35,,0.197,,0.097,,0.019,,,,0.135,,0.0118,,0.0078,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330006,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2024-05-28 13:25,WATER,DISCRETE SAMPLE,4.9,,,,0,,7.38,,0.534,,0.109,,,,,,,,0.009,,5.44,,1.94,,0.105,,0.256,,,,0.278,,0.113,,0.004,,89,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330010,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2024-06-26 13:45,WATER,DISCRETE SAMPLE,5.9,,,,0.001,,20.44,,1.68,,0.566,,,,,,,,0.029,,10.5,,9.94,,0.235,,1.09,,,,0.59,,0.575,,0.0089,,582,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330020,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2024-07-23 13:30,WATER,DISCRETE SAMPLE,5.5,,,,NC,,6.32,,0.286,,0.056,,,,,,,,0.009,,5.23,,1.09,,0.004,,0.115,,,,0.171,,0.0616,,0.0061,,46,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330021,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2024-08-20 14:16,WATER,DISCRETE SAMPLE,5.3,,,,0,,6.409,,0.294,,0.043,,,,,,,,0.005,,5.54,,0.869,L,0.002,,0.109,,,,0.185,,0.0443,L,0.002,,30,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330026,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2024-09-17 12:30,WATER,TRIPLICATE SAMPLE,4.1,,,,0.001,,7.308,,0.258,,0.021,,,,,,,,0.018,,6.85,,0.458,,0.003,,0.068,,,,0.19,,0.0249,,0.0035,,15,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330027,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2024-09-17 12:35,WATER,TRIPLICATE SAMPLE,4.1,,,,PM,,7.335,,0.252,,0.02,,,,,,,,0.018,,6.88,,0.455,L,0.002,,0.066,,,,0.186,,0.0228,,0.0033,,11,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330028,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2024-09-17 12:40,WATER,TRIPLICATE SAMPLE,4.1,,,,PM,,7.358,,0.267,,0.025,,,,,,,,0.018,,6.9,,0.458,L,0.002,,0.072,,,,0.195,,0.0291,,0.0039,,10,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330034,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2024-10-15 12:40,WATER,DISCRETE SAMPLE,4.5,,,,0,,5.57,,0.534,,0.048,,,,,,,,0.01,,4.51,,1.06,,0.006,,0.332,,,,0.202,,0.0494,L,0.002,,37,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330039,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2025-02-19 14:00,WATER,DISCRETE SAMPLE,7.51,,,,0,,2.816,,0.191,,0.012,,,,,,,,0.007,,2.42,,0.396,,0.1,,0.037,,,,0.154,,0.0154,,0.0037,,16,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024PN330049,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2025-03-18 14:20,WATER,DISCRETE SAMPLE,7.2,,,,0,,4.064,,0.335,,0.061,,,,,,,,0.028,,3.35,,0.714,,0.113,,0.078,,,,0.257,,0.0692,,0.0087,,23,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330014,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2025-07-11 14:00,WATER,DISCRETE SAMPLE,4.6,,,,0,,5.82,,0.263,,0.058,,,,,,,,0.007,,4.68,,1.14,L,0.002,,0.147,,,,0.116,,0.0587,L,0.002,,45,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330017,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2025-08-05 14:00,WATER,TRIPLICATE SAMPLE,4.9,,,,0,,NC,,0.261,,0.057,,,,,,,L,0.005,,4.7,,1.23,L,0.002,,0.139,,,,0.122,,0.0576,L,0.002,,38,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330018,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2025-08-05 14:05,WATER,TRIPLICATE SAMPLE,4.9,,,,PM,,NC,,0.227,,0.059,,,,,,,L,0.005,,4.6,,1.11,L,0.002,,0.108,,,,0.119,,0.0596,L,0.002,,33,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330019,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2025-08-05 14:10,WATER,TRIPLICATE SAMPLE,4.9,,,,PM,,NC,,0.223,,0.054,,,,,,,L,0.005,,4.7,,1.09,,0.002,,0.1,,,,0.123,,0.055,L,0.002,,39,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330032,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2025-09-05 13:38,WATER,DISCRETE SAMPLE,4.7,,,,0,,5.613,,0.209,,0.026,,,,,,,,0.006,,5,,0.613,,0.002,,0.074,,,,0.135,,0.0269,L,0.002,,17,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025PN330035,WOOD BUFFALO NATIONAL PARK MONITORING,"PEACE RIVER AT PEACE POINT, ALBERTA",AL07KC0001,59.11389,-112.42639,2026-02-11 14:40,WATER,DISCRETE SAMPLE,6.9,,,,NC,,NC,,NC,,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200014,WOOD BUFFALO NATIONAL PARK MONITORING,"BIRCH RIVER BELOW ALICE CREEK,",AL07KE0001,58.31542611,-113.0685081,2011-10-28 12:10,WATER,DISCRETE SAMPLE,0.6,,,,0,,33.149,,0.821,,0.104,,,,,,,,0.02,,32.8,,0.349,,0.034,,0.012,,0.809,,,,0.127,,0.023,,2.6,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
