2018PN010040,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2018-08-20 11:45,WATER,DISCRETE SAMPLE,18.2,,6.78,,0.08,,,,,,
2018PN010047,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2018-09-18 11:00,WATER,DISCRETE SAMPLE,18.9,,4.76,,0.04,,,,,,
2018PN010094,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2018-10-16 11:10,WATER,DISCRETE SAMPLE,18.8,,14.6,,0.06,,,,,,
2018PN010101,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-01-21 12:55,WATER,DISCRETE SAMPLE,20.42,,1.87,,0.03,,,,,,
2018PN010108,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-02-17 11:30,WATER,DISCRETE SAMPLE,21.37,,1.17,,0.03,,,,,,
2018PN010110,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-03-20 12:35,WATER,DISCRETE SAMPLE,20.46,,1.44,,0.03,,,,,,
2018PN330001,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2018-05-28 11:30,WATER,DISCRETE SAMPLE,20,,,,,,,,,,
2018PN330030,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2018-06-26 13:05,WATER,DISCRETE SAMPLE,15.6,,,,,,,,,,
2018PN330033,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2018-07-23 11:30,WATER,DISCRETE SAMPLE,18.3,,,,,,,,,,
2018PN330049,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2018-08-20 11:45,WATER,DISCRETE SAMPLE,18.2,,,,,,,,,,
2018PN330069,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2018-09-18 11:00,WATER,DISCRETE SAMPLE,18.9,,,,,,,,,,
2018PN330085,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2018-10-16 11:10,WATER,DISCRETE SAMPLE,18.8,,,,,,,,,,
2018PN330092,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-01-21 12:55,WATER,DISCRETE SAMPLE,20.42,,,,,,,,,,
2018PN330105,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-02-17 11:30,WATER,DISCRETE SAMPLE,21.37,,,,,,,,,,
2018PN330124,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-03-20 12:35,WATER,DISCRETE SAMPLE,20.46,,,,,,,,,,
2019PN010024,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-05-28 11:00,WATER,DISCRETE SAMPLE,20,,,,,,,,,,
2019PN010029,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-06-24 12:00,WATER,DISCRETE SAMPLE,19.2,,,,,,,,,,
2019PN010051,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-07-22 15:25,WATER,DISCRETE SAMPLE,18.6,,,,,,,,,,
2019PN010067,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-08-19 12:37,WATER,DISCRETE SAMPLE,18.6,,,,,,,,,,
2019PN010096,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-09-18 10:30,WATER,DISCRETE SAMPLE,18.8,,,,,,,,,,
2019PN010102,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-10-08 11:20,WATER,DISCRETE SAMPLE,19,,,,,,,,,,
2019PN010122,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2020-01-19 11:55,WATER,DISCRETE SAMPLE,4.97,,,,,,,,,,
2019PN010125,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2020-02-19 11:20,WATER,DISCRETE SAMPLE,6.86,,,,,,,,,,
2019PN330004,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-05-28 11:00,WATER,DISCRETE SAMPLE,20,,23.2,,,,4.15,,0.148,,0.151
2019PN330017,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-06-24 12:00,WATER,DISCRETE SAMPLE,19.2,,5.77,,,,4.62,,0.062,,0.045
2019PN330051,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-07-22 15:25,WATER,DISCRETE SAMPLE,18.6,,23.2,,,,3.26,,0.152,,0.148
2019PN330056,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-08-19 12:37,WATER,DISCRETE SAMPLE,18.6,,16,,,,5.47,,0.218,,0.21
2019PN330085,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-09-18 10:30,WATER,DISCRETE SAMPLE,18.8,,6.3,,,,4.28,,0.109,,0.121
2019PN330101,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2019-10-08 11:20,WATER,DISCRETE SAMPLE,19,,6.54,,,,4.84,,0.118,,0.116
2019PN330104,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2020-01-19 11:55,WATER,DISCRETE SAMPLE,4.97,,,,,,,,,,
2019PN330123,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2020-02-19 11:20,WATER,DISCRETE SAMPLE,6.86,,,,,,,,,,
2020PN010014,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2020-08-25 18:30,WATER,DISCRETE SAMPLE,18.2,,,,,,,,,,
2020PN010016,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2020-09-29 12:10,WATER,DISCRETE SAMPLE,17,,,,,,,,,,
2020PN010041,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2020-10-21 11:20,WATER,DISCRETE SAMPLE,35,,,,,,,,,,
2020PN010044,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-01-21 11:55,WATER,DISCRETE SAMPLE,33,,,,,,,,,,
2020PN010047,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-03-10 12:20,WATER,DISCRETE SAMPLE,,,,,,,,,,,
2020PN330001,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2020-09-29 11:55,WATER,DISCRETE SAMPLE,17,,,,,,4.54,,0.128,,
2020PN330006,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2020-08-25 18:30,WATER,DISCRETE SAMPLE,16.5,,,,,,,,,,
2020PN330007,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2020-10-21 11:20,WATER,DISCRETE SAMPLE,35,,,,,,3.47,,0.072,,
2020PN330011,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-01-21 11:55,WATER,DISCRETE SAMPLE,21,,,,,,1.4,,0.066,,
2020PN330014,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-03-10 12:20,WATER,DISCRETE SAMPLE,,,,,,,6.78,,0.6,,
2021PN010001,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-04-15 12:00,WATER,DISCRETE SAMPLE,>24,,,,,,,,,,
2021PN010012,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-06-17 11:30,WATER,DISCRETE SAMPLE,18,,,,,,,,,,
2021PN010018,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-06-29 14:10,WATER,TRIPLICATE SAMPLE,18,,,,,,,,,,
2021PN010019,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-06-29 14:15,WATER,TRIPLICATE SAMPLE,18,,,,,,,,,,
2021PN010020,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-06-29 14:20,WATER,TRIPLICATE SAMPLE,18,,,,,,,,,,
2021PN010037,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-08-03 11:45,WATER,DISCRETE SAMPLE,15.5,,,,,,,,,,
2021PN010044,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-08-30 18:27,WATER,DISCRETE SAMPLE,14.4,,,,,,,,,,
2021PN010123,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-09-21 13:00,WATER,DISCRETE SAMPLE,14.1,,,,,,,,,,
2021PN010140,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-10-20 12:50,WATER,DISCRETE SAMPLE,15.2,,,,,,,,,,
2021PN010153,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-02-23 11:11,WATER,DISCRETE SAMPLE,,,,,,,,,,,
2021PN010170,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-03-16 11:15,WATER,DISCRETE SAMPLE,21.78,,,,,,,,,,
2021PN330002,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-04-15 12:00,WATER,DISCRETE SAMPLE,>24,,,,,,3.45,,0.081,,
2021PN330005,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-06-17 11:00,WATER,DISCRETE SAMPLE,18,,,,,,,,,,
2021PN330006,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-06-29 12:35,WATER,TRIPLICATE SAMPLE,18,,,,,,6.59,,0.141,,
2021PN330007,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-06-29 12:40,WATER,TRIPLICATE SAMPLE,18,,,,,RANGEH,360.82,,0.139,,
2021PN330008,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-06-29 12:45,WATER,TRIPLICATE SAMPLE,18,,,,,,6.4,,0.12,,
2021PN330026,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-08-03 11:25,WATER,DISCRETE SAMPLE,15.5,,,,,,5.12,,0.07,,
2021PN330029,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-08-26 12:53,WATER,DISCRETE SAMPLE,14.3,,,,,,2.38,,0.041,,
2021PN330037,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-09-21 12:35,WATER,DISCRETE SAMPLE,14.1,,,,,,3.53,,0.07,,
2021PN330046,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2021-10-20 12:20,WATER,DISCRETE SAMPLE,15.2,,,,,,3.15,,0.045,,
2021PN330059,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-02-23 10:32,WATER,DISCRETE SAMPLE,,,,,,,3.2,,0.03,,
2021PN330062,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-03-16 10:45,WATER,DISCRETE SAMPLE,21.78,,,,,,1.75,,0.016,,
2022PN010006,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-05-23 18:00,WATER,DISCRETE SAMPLE,14.6,,,,,,,,,,
2022PN010012,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-06-26 13:53,WATER,DISCRETE SAMPLE,14.1,,,,,,,,,,
2022PN010022,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-07-21 17:30,WATER,DISCRETE SAMPLE,14.3,,,,,,,,,,
2022PN010047,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-08-16 15:15,WATER,DISCRETE SAMPLE,12.5,,,,,,,,,,
2022PN010135,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-10-11 12:25,WATER,TRIPLICATE SAMPLE,11.9,,,,,,,,,,
2022PN010136,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-10-11 12:30,WATER,TRIPLICATE SAMPLE,11.9,,,,,,,,,,
2022PN010137,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-10-11 12:35,WATER,TRIPLICATE SAMPLE,11.9,,,,,,,,,,
2022PN010153,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2023-02-07 12:50,WATER,DISCRETE SAMPLE,12,,,,,,,,,,
2022PN010165,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2023-03-07 14:20,WATER,DISCRETE SAMPLE,13.3,,,,,,,,,,
2022PN330002,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-05-23 17:45,WATER,DISCRETE SAMPLE,14.6,,,,,,8.35,,0.412,,
2022PN330021,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-06-26 13:27,WATER,DISCRETE SAMPLE,14.1,,,,,,6.18,,0.177,,
2022PN330025,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-07-21 17:10,WATER,DISCRETE SAMPLE,14.3,,,,,,14.1,,0.15,,
2022PN330034,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-08-16 15:51,WATER,DISCRETE SAMPLE,12.5,,,,,,4.88,,0.06,,
2022PN330039,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-10-11 12:25,WATER,TRIPLICATE SAMPLE,11.9,,,,,,2.17,,0.038,,
2022PN330040,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-10-11 12:30,WATER,TRIPLICATE SAMPLE,11.9,,,,,,2.2,,0.035,,
2022PN330041,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2022-10-11 12:35,WATER,TRIPLICATE SAMPLE,11.9,,,,,,2.3,,0.037,,
2022PN330048,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2023-02-07 12:50,WATER,DISCRETE SAMPLE,11.2,,,,,,1.12,,0.013,,
2022PN330053,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2023-03-07 14:25,WATER,DISCRETE SAMPLE,12.23,,,,,,4.11,,0.078,,
2023PN010005,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2023-05-30 12:10,WATER,DISCRETE SAMPLE,12.2,,,,,,,,,,
2023PN010009,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2023-06-27 11:00,WATER,DISCRETE SAMPLE,11.7,,,,,,,,,,
2023PN010065,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2023-10-04 18:36,WATER,DISCRETE SAMPLE,10,,,,,,,,,,
2023PN010069,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2023-10-16 13:40,WATER,DISCRETE SAMPLE,10.1,,,,,,,,,,
2023PN010073,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-01-23 13:35,WATER,DISCRETE SAMPLE,12.5,,,,,,,,,,
2023PN010079,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-02-19 11:20,WATER,DISCRETE SAMPLE,11.5,,,,,,,,,,
2023PN010082,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-03-19 12:50,WATER,TRIPLICATE SAMPLE,12.1,,,,,,,,,,
2023PN010083,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-03-19 12:55,WATER,TRIPLICATE SAMPLE,12.1,,,,,,,,,,
2023PN010084,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-03-19 13:00,WATER,TRIPLICATE SAMPLE,12.1,,,,,,,,,,
2023PN330001,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2023-05-30 13:00,WATER,DISCRETE SAMPLE,12.2,,,,,,3.86,,0.111,,
2023PN330009,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2023-06-27 11:00,WATER,DISCRETE SAMPLE,11.7,,,,,,5.3,,0.093,,
2023PN330016,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2023-10-04 18:36,WATER,DISCRETE SAMPLE,10,,,,,,2.1,,0.038,,
2023PN330020,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2023-10-16 13:40,WATER,DISCRETE SAMPLE,10.1,,,,,,1.56,,0.027,,
2023PN330024,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-01-23 13:50,WATER,DISCRETE SAMPLE,11.98,,,,,,1.34,,0.093,,
2023PN330029,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-02-19 11:25,WATER,DISCRETE SAMPLE,10.9,,,,,,0.77,L,0.01,,
2023PN330034,WOOD BUFFALO NATIONAL PARK MONITORING,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-03-19 12:35,WATER,DISCRETE SAMPLE,11.4,,,,,,1.79,L,0.01,,
2024PN010008,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-05-27 15:35,WATER,DISCRETE SAMPLE,17,,,,,,,,,,
2024PN010014,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-06-25 13:10,WATER,DISCRETE SAMPLE,14,,,,,,,,,,
2024PN010041,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-07-24 12:45,WATER,DISCRETE SAMPLE,14.2,,,,,,,,,,
2024PN010047,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-08-19 13:20,WATER,DISCRETE SAMPLE,14.5,,,,,,,,,,
2024PN010087,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-09-16 12:25,WATER,DISCRETE SAMPLE,14.2,,,,,,,,,,
2024PN010105,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2024-10-14 12:25,WATER,DISCRETE SAMPLE,14.4,,,,,,,,,,
2024PN010114,NWT-ALBERTA INTER-JURISDICTIONAL RIVERS (IJR) AQUATIC QUALIT,"SLAVE RIVER AT FITZGERALD, ALBERTA",AL07NB0001,59.86917,-111.58583,2025-02-18 12:18,WATER,DISCRETE SAMPLE,15.7,,,,,,,,,,
