"*Co-investigator /
Chercheur associé 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Co-investigator
Affiliation / 
Affiliation du chercheur associé
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Principal Investigator Contact Information / Coor-données de chercheur Principal,kerry.pippy@ec.gc.ca,kerry.pippy@ec.gc.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Steward(s) / Intendant(s) des données,Minzhen Su,Minzhen Su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Government Licence-Canada / Licence du gouver-nement ouvert – Canada ,http://open.canada.ca/en/open-government-licence-canada,http://ouvert.canada.ca/fr/licence-du-gouvernement-ouvert-canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attribution / 
Attribution
","Environment and Climate Change Canada, [Year Accessed].  Data File Name [Name of data file]. Downloaded on [Year-Month-Day] from [Name and URL of the data portal].","Environnement et Changement climatique Canada, [année de la consultation]. Nom du fichier de données [Nom du fichier de données], générée [année-mois-jour]. Téléchargé le [année-mois-jour] depuis [Nom et URL du portail de données].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acknowledgement statement / Énoncé de reconnaissance ,"The author(s) acknowledge Environment and Climate Change Canada and [if applicable, enter the names of any co-contributors, co-funding agencies, and/or collaborators] for the provision of [type of] data accessed from [Name and URL of the data portal].  [If applicable:  The original data/data files were modified and redistributed and/or used to produce derivative work as follows: …enter details…].    ","Le ou les auteur(s) reconnaissent Environnement et Changement climatique Canada et [s’il y a lieu, entrez les noms des contributeurs, des organismes de cofinancement ou des collaborateurs] pour la prestation du [type de] données consultées depuis [Nom et URL du portail de données]. [S’il y a lieu : les données/fichiers de données d’origine ont été modifiés, redistribués et/ou utilisés pour des travaux dérivés, à savoir : …précisez…].    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quality Assurance Level and Disclaimer / 
Niveau d’assurance de la qualité et avis de non-responsa-bilité
","Level 1, defined as a complete data set of specified quality that consists of research products subjected to quality assurance and quality control checks and data management procedures.","Définition du niveau 1 : ensemble de données complet d’une qualité précisée, qui regroupe des produits de recherche soumis à des vérifications d’assurance et de contrôle de la qualité et à des procédures de gestion des données.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flag column pertain to the numerical value in the data column immediately to the right / Colonne du marquer se rapportent à la valeur numérique dans les données de la colonne immédiatement à la droite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Sample Number / Numéro de l'échantillon sur le terrain,Project Name / Nom du projet,Station or Location Name / Nom du la station et lieu ,Station Number / Numéro de la station,Latitude (Decimal Degrees) / Latitude (degrés décimaux),Longitude (Decimal Degrees) / Longitude (degrés décimaux),Sample Date (yyyy-mm-dd hh:mm:ss ) / Date de l'échantillon(aaaa-mm-jj hh:mm:ss),Matrix /  Matrice,Sample Type / Type d'échantillon,Water Depth (m) / La profondeur de l’eau (m),Flag/Marqueur,BICARBONATE (CALCD. 006201-L) (MG/L) / Bicarbonate (calculé 006201-L) (MG/L),Flag/Marqueur,CARBONATE (CALCD. 006301-L) (MG/L) / Carbonate (calculé 006301-L) (MG/L),Flag/Marqueur,FREE CO2 (CALCD. 006401-L) (MG/L) / Dioxyde de carbone libre (calculé 006401-L) (MG/L),Flag/Marqueur,HARDNESS NON-CARBONATED (CALCD. 010650-L) (MG/L) / Dureté non-cabronatée (calculé 010650-L) (MG/L),Flag/Marqueur,HARDNESS TOTAL (CALCD. 010602-L) CaCO3 (MG/L) / Dureté totale (caculé 010602-L) CaCO3 (MG/L),Flag/Marqueur,HYDROXIDE (CALCD. 008501-L) (MG/L) / Hydroxyde (calculé 008501-L) (MG/L),Flag/Marqueur,SATURATION INDEX (CALCD. 000210-L) (pH Units) / Indice de saturation (calculé 000210-L) (unités de pH) ,Flag/Marqueur,SODIUM ADSORPTION RATIO (CALCD. 011201-L) (Relative Units) / Ratio adsorption sodium (calculé 011201-L) (unités relative),Flag/Marqueur,SODIUM PERCENTAGE (CALCD. 011250-L) (%) / Pourcentage sodium (calculé 011250-L) (%),Flag/Marqueur,STABILITY INDEX (CALCD. 000211-L) (pH units) / Indice de stabilité (calculé 000211-L) (unités de pH) ,Flag/Marqueur,TOTAL DISSOLVED SOLIDS (CALCD. 000202-L) (MG/L) / Solides dissous totaux (calculé 000202-L) (MG/L),Flag/Marqueur,COLOUR TRUE (102559-L) (CU) / Couleur vraie (102559-L) (unités de couleur),Flag/Marqueur,TURBIDITY (104288-L) (NTU) / Turbidité (104788-L) (UTN),Flag/Marqueur,ALKALINITY GRAN CaCO3 (010110-L) (MG/L) / Alcalinité Gran CaCO3 (010110-L) (MG/L),Flag/Marqueur,ALKALINITY PHENOLPHTHALEIN CaCO3 (010151-L) (MG/L) / Alcalinité phénolphtaléine CaCO3 (010151-L) (MG/L),Flag/Marqueur,ALKALINITY TOTAL CaCO3 (010111-L) (MG/L) / Alcalinité totale CaCO3 (010111-L) (MG/L),Flag/Marqueur,CALCIUM DISSOLVED (FILTERED 020103-L) (MG/L) / Calcium dissous (filtré 020103-L) (MG/L),Flag/Marqueur,CHLORIDE DISSOLVED (108311-L) (MG/L) / Chlorures dissous (108311-L) (MG/L),Flag/Marqueur,FLUORIDE DISSOLVED (108310-L) (MG/L) / Fluorure dissous (108310-L) (MG/L),Flag/Marqueur,MAGNESIUM DISSOLVED (FILTERED 012102-L) (MG/L) / Magnésium dissous (filtré 012102-L) (MG/L),Flag/Marqueur,PH (010301-L) (pH units) / pH (010301-L) (unités de pH),Flag/Marqueur,POTASSIUM DISSOLVED (FILTERED 100499-L) (MG/L) / Potassium dissous (filtré 100499-L) (MG/L),Flag/Marqueur,SIO2 (014108-L) (MG/L) / SiO2  (014108-L) (MG/L),Flag/Marqueur,SODIUM DISSOLVED (FILTERED 100500-L) (MG/L) / Sodium dissous (filtré 100500-L) (MG/L),Flag/Marqueur,SULPHATE DISSOLVED (108312-L) (MG/L) / Sulfates dissous (108312-L) (MG/L),Flag/Marqueur,CALCIUM DISSOLVED (FILTERED 109109-L) (MG/L) / Calcium dissous (filtré 109109-L) (MG/L),Flag/Marqueur,MAGNESIUM DISSOLVED (FILTERED 109111-L) (MG/L) / Magnésium dissous (filtré 109111-L) (MG/L),Flag/Marqueur,POTASSIUM DISSOLVED (FILTERED 109110-L) (MG/L) / Potassium dissous (filtré 109110-L) (MG/L),Flag/Marqueur,SIO2 (109113-L) (MG/L) / Silice réactive soluble  (109113-L) (MG/L),Flag/Marqueur,SODIUM DISSOLVED (FILTERED 109112-L) (MG/L) / Sodium dissous (filtré 109112-L) (MG/L),Flag/Marqueur,COLOUR TRUE (002021-L) (Relative units) / Couleur vraie (002021-L) (unités relative),Flag/Marqueur,SPECIFIC CONDUCTANCE (002041-L) (USIE/CM) / Conductance spécifique (002041-L) (USIE/CM),Flag/Marqueur,TURBIDITY (002081-L) (NTU) / Turbidité (002081-L) (UTN),Flag/Marqueur,OXYGEN DISSOLVED (008102-F) (MG/L) / Oxygène dissous (008102-F) (MG/L),Flag/Marqueur,PH (010301-F) (pH units) / pH (010301-F) (unités de pH),Flag/Marqueur,SPECIFIC CONDUCTANCE (002041-F) (USIE/CM) / Conductance spécifique (002041-F) (USIE/CM),Flag/Marqueur,TEMPERATURE WATER (002061-F) (DEG C) / Température (eau) (002061-F) (deg C),Flag/Marqueur,TURBIDITY (002081-F) (NTU) / Turbidité (002081-F) (UTN),Flag/Marqueur,TURBIDITY (000459-L) (NTU) / Turbidité (000459-L) (UTN),Flag/Marqueur,COLOUR TRUE (005078-L) (CU) / Couleur vraie (005078-L) (unités de couleur),Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur
2011PN200001,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2011-10-27 11:56,WATER,VERTICAL INTEGRATED,0.27,,148.718,,0,,1.537,,12.032,,134.032,,0,,-0.261,,0.61,,20.602,,8.703,,185.364,,,,,,NA,,NA,,122,,36.2,,11.9,,0.11,,10.6,,8.18,,1.47,,3.44,,16.2,,32.2,,,,,,,,,,,,8,,329,,5,EVENTF,14.07,,6.59,,327,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200002,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2011-10-27 12:10,WATER,VERTICAL INTEGRATED,1.01,,147.499,,0,,1.524,,9.887,,130.887,,0,,-0.272,,0.57,,19.64,,8.724,,179.999,,,,,,NA,,NA,,121,,35.6,,10.2,,0.11,,10.2,,8.18,,1.43,,3.41,,14.9,,31.5,,,,,,,,,,,,8,,320,,5.4,,NA,,7.09,,317,,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200003,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2011-10-27 12:48,WATER,VERTICAL INTEGRATED,1.58,,146.28,,0,,1.476,,9.139,,129.139,,0,,-0.271,,0.55,,19.204,,8.732,,177.083,,,,,,NA,,NA,,120,,34.9,,9.56,,0.11,,10.2,,8.19,,1.43,,3.43,,14.3,,31.1,,,,,,,,,,,,8,,320,,5.1,,NA,,7.54,,314,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200004,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2011-10-27 13:02,WATER,VERTICAL INTEGRATED,2.1,,145.061,,0,,1.464,,9.228,,128.228,,0,,-0.276,,0.55,,19.197,,8.742,,174.684,,,,,,NA,,NA,,119,,34.7,,9.04,,0.11,,10.1,,8.19,,1.47,,3.42,,14.2,,30.2,,,,,,,,,,,,8,,317,,5.2,,NA,,7.66,,312,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200005,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2011-10-27 13:25,WATER,VERTICAL INTEGRATED,2.44,,151.156,,0,,1.456,,3.942,,127.942,,0,,-0.235,,0.53,,18.8,,8.681,,177.274,,,,,,NA,,NA,,124,,34.8,,9.21,,0.11,,9.97,,8.21,,1.41,,3.43,,13.8,,30.1,,,,,,,,,,,,8,,316,,5.2,,NA,,7.73,,310,,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200006,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 6 OF 10,AL07DD0004,57.12708333,-111.6020556,2011-10-27 14:17,WATER,VERTICAL INTEGRATED,2.5,,145.061,,0,,1.43,,8.404,,127.404,,0,,-0.262,,0.54,,19.2,,8.723,,174.164,,,,,,NA,,NA,,119,,34.7,,9.46,,0.11,,9.9,,8.2,,1.38,,3.47,,14.1,,29.6,,,,,,,,,,,,8,,315,,5.2,,NA,,7.96,,309,,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200007,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2011-10-27 14:42,WATER,TRIPLICATE SAMPLE,2.65,,145.061,,0,,1.397,,3.086,,122.086,,0,,-0.274,,0.57,,20.185,,8.758,,172.184,,,,,,NA,,NA,,119,,32.9,,9.97,,0.11,,9.7,,8.21,,1.46,,3.6,,14.4,,28.6,,,,,,,,,,,,8,,309,,5.2,,NA,,7.87,,308,,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200008,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 8 OF 10,AL07DD0004,57.12733333,-111.6010556,2011-10-27 15:19,WATER,VERTICAL INTEGRATED,2.77,,142.623,,0,,1.509,,6.34,,123.34,,0,,-0.312,,0.57,,20.256,,8.793,,171.554,,,,,,NA,,NA,,117,,33.6,,10.4,,0.11,,9.58,,8.17,,1.39,,3.63,,14.6,,28,,,,,,,,,,,,8,,308,,5.4,,NA,,7.84,,308,,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200009,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2011-10-27 15:34,WATER,VERTICAL INTEGRATED,3.05,,142.623,,0,,1.406,,5.424,,122.424,,0,,-0.287,,0.58,,20.374,,8.774,,171.164,,,,,,NA,,NA,,117,,33.2,,10.8,,0.11,,9.6,,8.2,,1.4,,3.71,,14.6,,27.5,,,,,,,,,,,,15,,311,,5.5,,NA,,7.84,,307,,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200010,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2011-10-27 16:14,WATER,VERTICAL INTEGRATED,2.16,,142.623,,0,,1.406,,3.217,,120.217,,0,,-0.295,,0.59,,20.888,,8.791,,170.534,,,,,,NA,,NA,,117,,32.3,,11.1,,0.11,,9.61,,8.2,,1.41,,3.76,,14.8,,27.2,,,,,,,,,,,,8,,310,,5.5,,NA,,7.82,,308,,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200011,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2011-10-27 14:52,WATER,TRIPLICATE SAMPLE,,,143.842,,0,,1.353,,5.543,,123.543,,0,,-0.26,,0.56,,20.007,,8.74,,171.994,,,,,,NA,,NA,,118,,33.5,,10,,0.11,,9.69,,8.22,,1.4,,3.55,,14.4,,28.5,,,,,,,,,,,,8,,313,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200012,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2011-10-27 15:02,WATER,TRIPLICATE SAMPLE,,,145.061,,0,,1.333,,3.956,,122.956,,0,,-0.251,,0.56,,19.979,,8.733,,172.394,,,,,,NA,,NA,,119,,33.1,,9.95,,0.11,,9.79,,8.23,,1.35,,3.55,,14.3,,28.8,,,,,,,,,,,,8,,315,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200013,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2011-10-27 17:00,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,145.061,,0,,1.397,,6.319,,125.319,,0,,PM,,0.57,,20.11,,PM,,174.884,,,,,,NA,,NA,,119,,33.7,,10.3,,0.11,,10,,8.21,,1.41,,3.52,,14.7,,29.7,,,,,,,,,,,,8,,322,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200015,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 1 OF 10,AL07DD0005,57.15605556,-111.63,2011-10-29 10:14,WATER,VERTICAL INTEGRATED,0.7,,146.28,,0,,1.224,,9.962,,129.962,,0,,-0.222,,0.58,,19.959,,8.714,,178.348,,,,,,NA,,NA,,120,,34.9,,9.85,,0.11,,10.4,,8.27,,1.45,,3.48,,15.1,,31,,,,,,,,,,,,8,,323,,15,,13.27,,7.24,,314,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200016,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 2 OF 10,AL07DD0005,57.15633333,-111.6294167,2011-10-29 11:32,WATER,VERTICAL INTEGRATED,1.25,,146.28,,0,,1.224,,9.962,,129.962,,0,,-0.22,,0.59,,20.271,,8.71,,178.583,,,,,,NA,,NA,,120,,34.9,,9.78,,0.11,,10.4,,8.27,,1.48,,3.46,,15.4,,31,,,,,,,,,,,,8,,321,,13,,13.43,,7.84,,316,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200017,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 3 OF 10,AL07DD0005,57.15655556,-111.6286944,2011-10-29 11:45,WATER,VERTICAL INTEGRATED,1.28,,145.061,,0,,1.213,,10.874,,129.874,,0,,-0.225,,0.6,,20.704,,8.721,,177.834,,,,,,NA,,NA,,119,,34.7,,9.87,,0.11,,10.5,,8.27,,1.45,,3.46,,15.8,,30.5,,,,,,,,,,,,8,,319,,7.4,,13.45,,7.88,,310,,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200018,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 4 OF 10,AL07DD0005,57.15669444,-111.62825,2011-10-29 12:04,WATER,VERTICAL INTEGRATED,1.31,,146.28,,0,,1.224,,10.3,,130.3,,0,,-0.213,,0.6,,20.656,,8.697,,178.754,,,,,,NA,,NA,,120,,35.2,,10,,0.11,,10.3,,8.27,,1.42,,3.48,,15.8,,30.4,,,,,,,,,,,,8,,317,,6.7,,13.45,,7.9,,314,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200019,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2011-10-29 12:24,WATER,VERTICAL INTEGRATED,1.71,,145.061,,0,,1.272,,8.89,,127.89,,0,,-0.245,,0.6,,20.741,,8.741,,176.574,,,,,,NA,,NA,,119,,34.4,,10.3,,0.11,,10.2,,8.25,,1.47,,3.45,,15.6,,29.6,,,,,,,,,,,,8,,317,,5.7,,13.47,,7.91,,313,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
